,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
66,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2015,False,95.71,B+,5
67,"Mayacamas Vineyards, Cabernet Sauvignon, Napa Valley",103766,Napa Valley,Red,,California,Usa,,2013,False,93.66,B,6
68,"Araujo Estate, Eisele Vineyard Syrah, Napa Valley",5552,Napa Valley,Red,,California,Usa,,2001,False,93.51,A,3
69,"Continuum, Proprietary Red, Oakville",45683,Oakville,Red,,California,Usa,,2015,False,99.85,C,3
70,"Seavey Vineyard, Cabernet Sauvignon, Napa Valley",125854,Napa Valley,Red,,California,Usa,,2013,False,95.88,B,3
71,"Pahlmeyer, Proprietary Red, Napa Valley",111900,Napa Valley,Red,,California,Usa,,1995,False,92.7,C+,3
72,"Beringer Vineyards, Private Reserve Cabernet Sauvignon, Napa Valley",11029,Napa Valley,Red,,California,Usa,,1978,False,85.33,C,4
73,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2005,False,93.61,C,5
74,"Pahlmeyer, Proprietary Red, Napa Valley",111900,Napa Valley,Red,,California,Usa,,2015,False,94.41,B,4
75,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2008,False,93.43,C+,6
76,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2015,False,95.1,B,4
77,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2005,False,91.41,C,7
78,"Joseph Phelps Vineyards, Insignia, Napa Valley",89577,Napa Valley,Red,,California,Usa,,2016,False,97.09,B+,3
79,"Joseph Phelps Vineyards, Cabernet Sauvignon, Napa Valley",89561,Napa Valley,Red,,California,Usa,,2016,False,90.56,A+,3
80,"Gallica, Cabernet Sauvignon, Oakville",77600,Oakville,Red,,California,Usa,,2010,False,93.32,B,10
81,"Cain Vineyard & Winery, Cain Five, Spring Mountain District",23254,Spring Mountain District,Red,,California,Usa,,1997,False,91.99,B,7
82,"Dalla Valle Vineyards, Maya, Napa Valley",48290,Napa Valley,Red,,California,Usa,,1990,False,96.2,B,6
83,"Philip Togni Vineyard, Cabernet Sauvignon, Napa Valley",115154,Napa Valley,Red,,California,Usa,,1999,False,92.45,B,4
84,"Philip Togni Vineyard, Cabernet Sauvignon, Napa Valley",115154,Napa Valley,Red,,California,Usa,,2009,False,91.43,C+,3
85,"Mayacamas Vineyards, Cabernet Sauvignon, Napa Valley",103766,Napa Valley,Red,,California,Usa,,2006,False,87.42,C,4
86,"Spottswoode, Family Estate Grown Cabernet Sauvignon, St Helena",129353,St Helena,Red,,California,Usa,,2016,False,97.47,A+,4
87,"Chappellet, Pritchard Hill Cabernet Sauvignon, Napa Valley",31619,Napa Valley,Red,,California,Usa,,2005,False,94.12,B+,3
88,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",125712,Napa Valley,Red,,California,Usa,,2012,False,98.98,A,8
89,"Screaming Eagle, 'Second Flight', Napa Valley",125711,Napa Valley,Red,,California,Usa,,2012,False,94.47,A+,7
90,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2008,False,94.08,B+,6
91,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2004,False,93.39,B+,9
92,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1990,False,93.25,B,6
93,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1999,False,93.01,B,7
94,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1987,False,92.77,C+,6
95,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1994,False,91.67,C+,8
96,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2006,False,91.26,B,8
97,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2002,False,91.12,C+,7
98,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1995,False,91.07,B+,7
99,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1993,False,91.0,B+,5
100,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1992,False,90.83,B,6
101,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1985,False,90.65,C,4
102,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1998,False,90.38,B,6
103,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1986,False,90.08,B,7
104,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2003,False,89.77,C+,7
105,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1988,False,88.84,C+,5
106,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2000,False,87.9,C+,6
107,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1989,False,87.8,B,4
108,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1983,False,87.53,C+,4
109,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1982,False,86.81,B,5
110,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1981,False,86.72,C,4
111,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1984,False,85.92,C,4
112,"Joseph Phelps Vineyards, Backus Vineyard Cabernet Sauvignon, Oakville",89560,Oakville,Red,,California,Usa,,2016,False,96.24,A,3
113,"Dunn Vineyards, Howell Mountain Cabernet Sauvignon, California",68206,Howell Mountain,Red,,California,Usa,,1985,False,94.34,C+,4
114,"Robert Mondavi Winery, Reserve Cabernet Sauvignon, Napa Valley",121454,Napa Valley,Red,,California,Usa,,2009,False,90.94,C+,3
115,"Chateau Montelena, Cabernet Sauvignon, Napa Valley",39440,Napa Valley,Red,,California,Usa,,2006,False,87.93,B,4
116,"Colgin Cellars, Ix Estate Red, Napa Valley",44620,Napa Valley,Red,,California,Usa,,2006,False,97.44,B,7
117,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2013,False,97.26,A,4
118,"Harlan Estate, Napa Valley",81980,Napa Valley,Red,,California,Usa,,2006,False,96.87,B,6
119,"Schrader Cellars, T6 Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",125502,Napa Valley,Red,,California,Usa,,2013,False,96.85,B,4
120,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2015,False,96.85,B,3
121,"Abreu Vineyard, Cappella Proprietary Red, Napa Valley",816,Napa Valley,Red,,California,Usa,,2009,False,96.69,B+,3
122,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2012,False,96.46,A,5
123,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2008,False,96.39,A,5
124,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2009,False,96.05,B+,4
125,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2002,False,95.52,C+,5
126,"Araujo Estate, Eisele Vineyard Cabernet Sauvignon, Napa Valley",5550,Napa Valley,Red,,California,Usa,,2007,False,94.82,C+,8
127,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2005,False,98.22,B,4
128,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2007,False,96.64,B,4
