wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,1988,False,87.93,C,5
"Marimar Estate, 'La Masia' Don Miguel Vineyard Pinot Noir, Russian River Valley",101913,Russian River Valley,Red,,California,Usa,,2014,False,87.17,A+,3
"Screaming Eagle, Cabernet Sauvignon, Napa Valley",125712,Napa Valley,Red,,California,Usa,,2016,False,99.43,B,3
"Morlet Family Vineyards, Coeur De Vallee Cabernet Sauvignon, Oakville",107391,Oakville,Red,,California,Usa,,2009,False,94.73,A+,5
"Morlet Family Vineyards, Mon Chevalier Cabernet Sauvignon, Knights Valley",107399,Knights Valley,Red,,California,Usa,,2009,False,94.56,B+,3
"Cliff Lede Vineyards, Poetry Cabernet Sauvignon, Stags Leap District",43385,Stags Leap District,Red,,California,Usa,,2009,False,93.21,B+,4
"Favia, 'Rompecabezas', Amador County",72712,Amador County,Red,,California,Usa,,2016,False,92.91,B+,3
"Dalla Valle Vineyards, Cabernet Sauvignon, Napa Valley",48287,Napa Valley,Red,,California,Usa,,2013,False,95.22,B,5
"Silver Oak Cellars, Cabernet Sauvignon, Napa Valley",127590,Napa Valley,Red,,California,Usa,,2009,False,88.92,A,4
"Dominus Estate, Christian Moueix, Napa Valley",67008,Napa Valley,Red,,California,Usa,,2015,False,97.76,B,4
"Dunn Vineyards, Howell Mountain Cabernet Sauvignon, California",68206,Howell Mountain,Red,,California,Usa,,2015,False,94.88,B+,3
"Plumpjack Winery, Syrah, Napa Valley",116695,Napa Valley,Red,,California,Usa,,2016,False,94.28,A,4
"Mount Veeder Winery, Cabernet Sauvignon, Napa Valley",107830,Napa Valley,Red,,California,Usa,,2015,False,91.35,B,3
"Girard, Napa County Cabernet Sauvignon, California",79041,California,Red,,California,Usa,,2015,False,89.76,B,3
"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2007,False,93.89,A,8
"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2013,False,97.16,A,6
"Lail Vineyards, J. Daniel Cuvee Cabernet Sauvignon, Napa Valley",93523,Napa Valley,Red,,California,Usa,,2015,False,98.26,C+,4
"Colgin Cellars, Ix Estate Red, Napa Valley",44620,Napa Valley,Red,,California,Usa,,2009,False,96.82,B+,6
"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2012,False,96.68,B,7
"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2010,False,96.46,B+,5
"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2009,False,96.34,B+,8
"Dalla Valle Vineyards, Maya, Napa Valley",48290,Napa Valley,Red,,California,Usa,,2009,False,96.16,B,7
