,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
90,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",125712,Napa Valley,Red,,California,Usa,,2012,False,98.98,A,8
91,"Screaming Eagle, 'Second Flight', Napa Valley",125711,Napa Valley,Red,,California,Usa,,2012,False,94.47,A+,7
92,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2008,False,94.08,B+,6
93,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2004,False,93.39,B+,9
94,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1990,False,93.25,B,6
95,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1999,False,93.01,B,7
96,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1987,False,92.77,C+,6
97,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1994,False,91.67,C+,8
98,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2006,False,91.26,B,8
99,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2002,False,91.12,C+,7
100,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1995,False,91.07,B+,7
101,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1993,False,91.0,B+,5
102,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1992,False,90.83,B,6
103,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1985,False,90.65,C,4
104,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1998,False,90.38,B,6
105,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1986,False,90.08,B,7
106,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2003,False,89.77,C+,7
107,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1988,False,88.84,C+,5
108,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2000,False,87.9,C+,6
109,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1989,False,87.8,B,4
110,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1983,False,87.53,C+,4
111,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1982,False,86.81,B,5
112,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1981,False,86.72,C,4
113,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1984,False,85.92,C,4
114,"Joseph Phelps Vineyards, Backus Vineyard Cabernet Sauvignon, Oakville",89560,Oakville,Red,,California,Usa,,2016,False,96.24,A,3
115,"Dunn Vineyards, Howell Mountain Cabernet Sauvignon, California",68206,Howell Mountain,Red,,California,Usa,,1985,False,94.34,C+,4
