,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
116,"Aubert Wines, Hudson Vineyard Chardonnay, White, Carneros",148030,Carneros,White,dry,California,Usa,,2014,False,94.91,B+,3
117,"Shafer Vineyards, Red Shoulder Ranch Chardonnay, White, Carneros",126751,Carneros,White,dry,California,Usa,,2014,False,92.88,A,5
118,"Domaine Serene, 'Dijon Clones - Cote Sud Vineyard' Chardonnay, White, Willamette Valley",65475,Willamette Valley,White,dry,Oregon,Usa,,2014,False,93.03,B,4
119,"Kistler Vineyards, Hyde Vineyard Chardonnay, White, Carneros",91299,Carneros,White,dry,California,Usa,,2014,False,92.29,B,3
120,"Favia, Linea' Sauvignon Blanc, White, Coombsville",72716,Coombsville,White,dry,California,Usa,,2015,False,91.75,C,3
121,"Domaine Serene, Clos de Lune Vineyard Chardonnay, White, Dundee Hills",151373,Dundee Hills,White,,Oregon,Usa,,2014,False,91.57,A+,4
122,"Kistler Vineyards, Les Noisetiers Chardonnay, White, Sonoma Coast",91301,Sonoma Coast,White,dry,California,Usa,,2015,False,91.48,A,3
123,"Spottswoode, Sauvignon Blanc, White, Napa County",129358,Napa County,White,dry,California,Usa,,2015,False,89.97,B,4
124,"Kistler Vineyards, Hyde Vineyard Chardonnay, White, Carneros",91299,Carneros,White,dry,California,Usa,,2010,False,94.76,C+,3
125,"Newton Vineyard, Unfiltered Chardonnay, White, Napa Valley",109014,Napa Valley,White,dry,California,Usa,,2012,False,89.62,C,4
126,"Beringer Vineyards, Private Reserve Chardonnay, White, Napa Valley",11030,Napa Valley,White,dry,California,Usa,,2014,False,92.37,B,3
127,"Domaine Serene, 'Evenstad Reserve' Chardonnay, White, Dundee Hills",65476,Dundee Hills,White,dry,Oregon,Usa,,2014,False,93.45,B,4
128,"Shafer Vineyards, Red Shoulder Ranch Chardonnay, White, Carneros",126751,Carneros,White,dry,California,Usa,,2013,False,91.86,B+,5
129,"Duckhorn Vineyards, Chardonnay, White, Napa Valley",68059,Napa Valley,White,dry,California,Usa,,2014,False,89.12,A,3
130,"Kistler Vineyards, Les Noisetiers Chardonnay, White, Sonoma Coast",91301,Sonoma Coast,White,dry,California,Usa,,2014,False,90.97,B+,3
131,"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,Napa Valley,White,dry,California,Usa,,2010,False,96.58,B,4
132,"Newton Vineyard, Unfiltered Chardonnay, White, Napa Valley",109014,Napa Valley,White,dry,California,Usa,,2013,False,90.99,B,3
133,"Domaine Serene, Clos Du Soleil Vineyard Chardonnay, White, Dundee Hills",65489,Dundee Hills,White,dry,Oregon,Usa,,2014,False,91.68,B+,3
134,"Favia, Linea' Sauvignon Blanc, White, Coombsville",72716,Coombsville,White,dry,California,Usa,,2014,False,91.91,B,3
135,"Spottswoode, Sauvignon Blanc, White, Napa County",129358,Napa County,White,dry,California,Usa,,2013,False,89.38,A,7
136,"Marimar Estate, Don Miguel Vineyard Albarino, White, Russian River Valley",101916,Russian River Valley,White,dry,California,Usa,,2013,False,88.7,B,3
137,"Charles Krug Peter Mondavi Family, Sauvignon Blanc, White, St Helena",31803,St Helena,White,dry,California,Usa,,2013,False,86.92,C+,4
138,"Trefethen Family Vineyards, Chardonnay, White, Oak Knoll District",136480,Oak Knoll District,White,dry,California,Usa,,2013,False,93.93,C,3
139,"Paul Hobbs, Chardonnay, White, Russian River Valley",113414,Russian River Valley,White,dry,California,Usa,,2012,False,93.16,C,5
140,"Shafer Vineyards, Red Shoulder Ranch Chardonnay, White, Carneros",126751,Carneros,White,dry,California,Usa,,2012,False,92.99,C+,7
141,"Truchard Vineyards, Chardonnay, White, Carneros",136966,Carneros,White,dry,California,Usa,,2013,False,89.61,B,3
142,"Truchard Vineyards, Chardonnay, White, Carneros",136966,Carneros,White,dry,California,Usa,,2014,False,87.19,C,4
143,"O'Shaughnessy Estate Winery, Chardonnay, White, Oakville",110037,Oakville,White,dry,California,Usa,,2014,False,89.22,C,3
144,"Marimar Estate, 'Acero' Don Miguel Vineyard Chardonnay, White, Russian River Valley",101910,Russian River Valley,White,dry,California,Usa,,2014,False,89.54,B,3
145,"Marimar Estate, 'La Masia' Don Miguel Vineyard Chardonnay, White, Russian River Valley",101912,Russian River Valley,White,dry,California,Usa,,2013,False,88.19,B,5
146,"Stag'S Leap Wine Cellars, Karia Chardonnay, White, Napa Valley",129796,Napa Valley,White,dry,California,Usa,,2014,False,88.33,B,4
147,"Domaine Serene, Etoile Vineyard Chardonnay, White, Dundee Hills",65490,Dundee Hills,White,dry,Oregon,Usa,,2013,False,92.4,B,5
148,"Ridge Vineyards, Monte Bello Chardonnay, White, Santa Cruz Mountains",120785,Santa Cruz Mountains,White,dry,California,Usa,,2006,False,95.05,B,5
149,"Araujo Estate, Eisele Vineyard Sauvignon Blanc, White, Napa Valley",5551,Napa Valley,White,dry,California,Usa,,2014,False,92.32,C,5
150,"Kistler Vineyards, Hudson Vineyard Chardonnay, White, Carneros",91298,Carneros,White,dry,California,Usa,,2013,False,93.22,C+,3
151,"Domaine Serene, 'Evenstad Reserve' Chardonnay, White, Dundee Hills",65476,Dundee Hills,White,dry,Oregon,Usa,,2013,False,91.93,B,4
152,"Domaine Serene, Clos Du Soleil Vineyard Chardonnay, White, Dundee Hills",65489,Dundee Hills,White,dry,Oregon,Usa,,2013,False,91.14,B,3
153,"Domaine Serene, Clos de Lune Vineyard Chardonnay, White, Dundee Hills",151373,Dundee Hills,White,,Oregon,Usa,,2013,False,90.88,C+,4
154,"Peter Michael Winery, La Carriere Chardonnay, White, Knights Valley",114826,Knights Valley,White,dry,California,Usa,,2013,False,95.08,B+,5
155,"Aubert Wines, Larry Hyde & Sons Vineyard Chardonnay, White, Carneros",6880,Carneros,White,dry,California,Usa,,2012,False,93.94,A,4
156,"Screaming Eagle, Sauvignon Blanc, White, Oakville",125714,Oakville,White,dry,California,Usa,,2013,False,90.19,C+,3
157,"Domaine Serene, Clos Du Soleil Vineyard Chardonnay, White, Dundee Hills",65489,Dundee Hills,White,dry,Oregon,Usa,,2012,False,92.4,A+,3
158,"Peter Michael Winery, L'Apres-Midi Sauvignon Blanc, White, Knights Valley",114824,Knights Valley,White,dry,California,Usa,,2014,False,92.49,A,3
159,"Alpha Omega, Chardonnay, White, Napa Valley",3221,Napa Valley,White,dry,California,Usa,,2012,False,89.95,B,4
160,"Domaine Serene, 'Evenstad Reserve' Chardonnay, White, Dundee Hills",65476,Dundee Hills,White,dry,Oregon,Usa,,2012,False,92.67,B+,5
161,"Domaine Serene, 'Dijon Clones - Cote Sud Vineyard' Chardonnay, White, Willamette Valley",65475,Willamette Valley,White,dry,Oregon,Usa,,2013,False,90.82,A+,3
162,"Peter Michael Winery, Point Rouge Chardonnay, White, Sonoma County",114834,Sonoma County,White,dry,California,Usa,,2013,False,95.62,B,3
163,"Paul Hobbs, Ulises Valdez Vineyard Chardonnay, White, Russian River Valley",113430,Russian River Valley,White,dry,California,Usa,,2013,False,93.9,B,3
164,"Martinelli, Zio Tony Ranch Chardonnay, White, Russian River Valley",102677,Russian River Valley,White,dry,California,Usa,,2013,False,93.2,B,3
165,"Ridge Vineyards, Monte Bello Chardonnay, White, Santa Cruz Mountains",120785,Santa Cruz Mountains,White,dry,California,Usa,,2012,False,92.9,B+,5
166,"Paul Hobbs, Ross Station Estatechardonnay, White, Russian River Valley",113427,Russian River Valley,White,dry,California,Usa,,2013,False,92.22,B,4
167,"Paul Hobbs, Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113425,Sonoma Mountain,White,dry,California,Usa,,2013,False,91.02,B+,3
168,"Freemark Abbey, Chardonnay, White, Napa Valley",76832,Napa Valley,White,dry,California,Usa,,2014,False,89.84,A+,3
169,"Beringer Vineyards, 'Luminus' Chardonnay, White, Oak Knoll District",10973,Oak Knoll District,White,dry,California,Usa,,2014,False,89.28,B,3
170,"Beringer Vineyards, Chardonnay, White, Napa Valley",10992,Napa Valley,White,dry,California,Usa,,2014,False,87.73,B+,3
171,"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,Napa Valley,White,dry,California,Usa,,2013,False,97.94,B,3
172,"Kongsgaard, Chardonnay, White, Napa Valley",91585,Napa Valley,White,dry,California,Usa,,2013,False,95.07,A,3
173,"Pahlmeyer, Napa Valley Chardonnay, White, Napa Valley",111897,Napa Valley,White,dry,California,Usa,,2013,False,92.52,B,6
174,"Paul Hobbs, Edward James Estate Chardonnay, White, Russian River Valley",113417,Russian River Valley,White,dry,California,Usa,,2013,False,92.1,B,4
175,"Evening Land, White Label 'Seven Springs Vineyard - Summum' Chardonnay, White, Eola-Amity Hills",71176,Eola-Amity Hills,White,dry,Oregon,Usa,,2007,False,92.06,B,5
176,"Paul Hobbs, Cuvee Agustina Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113415,Sonoma Mountain,White,dry,California,Usa,,2013,False,91.77,B,3
177,"Delille Cellars, Chaleur Estate Blanc, White, Columbia Valley",50042,Columbia Valley,White,dry,Washington,Usa,,2014,False,91.51,B,4
178,"Paul Hobbs, Chardonnay, White, Russian River Valley",113414,Russian River Valley,White,dry,California,Usa,,2013,False,90.01,A+,3
179,"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,,2001,False,89.58,B+,3
180,"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,,2009,False,89.32,B,5
181,"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,,2013,False,88.38,B,3
182,"Peter Michael Winery, Belle Cote Chardonnay, White, Sonoma County",114819,Sonoma County,White,dry,California,Usa,,2012,False,95.24,B,5
183,"Araujo Estate, Eisele Vineyard Sauvignon Blanc, White, Napa Valley",5551,Napa Valley,White,dry,California,Usa,,2010,False,92.4,C+,3
184,"Peter Michael Winery, Mon Plaisir Chardonnay, White, Sonoma County",114832,Sonoma County,White,dry,California,Usa,,2013,False,94.67,B,4
185,"Peter Michael Winery, Belle Cote Chardonnay, White, Sonoma County",114819,Sonoma County,White,dry,California,Usa,,2013,False,93.95,C+,4
186,"Peter Michael Winery, Ma Belle-Fille Chardonnay, White, Knights Valley",114830,Knights Valley,White,dry,California,Usa,,2013,False,93.68,B,4
187,"Paul Hobbs, Ellen Lane Estate Vineyard Chardonnay, White, Russian River Valley",113418,Russian River Valley,White,dry,California,Usa,,2013,False,92.48,B,3
188,"Spottswoode, Sauvignon Blanc, White, Napa County",129358,Napa County,White,dry,California,Usa,,2014,False,89.94,B,4
189,"Silverado Vineyards Estate, Chardonnay, White, Carneros",127638,Carneros,White,dry,California,Usa,,2013,False,88.37,A+,3
190,"Mayacamas Vineyards, Chardonnay, White, Napa Valley",103767,Napa Valley,White,dry,California,Usa,,2012,False,90.09,C+,4
